,net,con,reductionType,variation,it,meanAA,stdAA,meanSpike,stdSpike,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
2,1,2,1,0,2,1565.8148148148098,5523.42357402111,78.892,23.848025830244303,15.7784,4.76960516604886,1.212,0.805590466676462,4.274161673293991,2.18029700293774,0.725
3,1,2,1,0,3,1420.6913580246899,5697.24260929659,92.336,25.4012421743504,18.4672,5.08024843487009,1.4280000000000002,0.880372648371132,4.51487015253407,2.2836086699099902,0.85
4,1,2,1,0,4,1364.58024691358,5180.19698101133,84.04,22.573931868418498,16.808,4.5147863736837,1.3416,0.7868604958949201,5.2042456931957,2.55497134424044,0.75
5,1,2,1,0,5,1159.20987654321,4224.89647682668,98.932,24.0009869797056,19.7864,4.8001973959411295,1.6312,0.8343539776377891,5.03961680646485,2.06754726320621,0.7375
6,1,2,1,0,6,1205.23456790123,4672.07128642872,88.72,23.3056559658809,17.744,4.661131193176179,1.3384,0.808879125704206,4.39427735071934,2.22473314952292,0.75
7,1,2,1,0,7,1219.69135802469,4551.31097011789,95.256,23.931871301676303,19.0512,4.786374260335269,1.6768,0.8652524255961379,5.5500767771444,2.5541257159309505,0.8125
8,1,2,1,0,8,1387.54320987654,5247.21465219002,87.16,25.042811343776897,17.432000000000002,5.00856226875538,1.4824,0.8968,5.681557560069799,2.7147724908518795,0.9
9,1,2,1,0,9,1435.12345679012,5157.05689199058,88.97200000000001,23.360719509467202,17.7944,4.672143901893429,1.5888,0.8771969904189141,6.82222849414688,3.2034640124256897,0.7625
0,1,2,1,1,0,1424.8641975308599,5118.9919405807395,97.788,27.389469801367103,19.5576,5.47789396027342,1.4808,0.893549864305289,5.32869300288638,2.64444696797907,0.7875
1,1,2,1,1,1,1450.22222222222,4857.67314871566,108.516,28.1908095662399,21.7032,5.638161913247969,2.0432,1.0764635432749199,6.285116826922651,2.41593428238793,0.925
2,1,2,1,1,2,1620.08641975309,5647.07996912712,85.38,25.6983190111727,17.076,5.13966380223454,1.2064,0.785034419627573,4.96105613830618,2.7947363539627497,0.925
3,1,2,1,1,3,1347.2962962963,4882.5359238833,92.02799999999999,27.171662002903,18.4056,5.4343324005805895,1.4880000000000002,0.8992085408847049,4.793458567868219,2.27379955014063,0.825
4,1,2,1,1,4,1426.79012345679,5395.101527016521,96.63600000000001,26.2134222107683,19.3272,5.24268444215366,1.5104,0.8275094198859609,5.42128499625587,2.3558864860759603,0.85
5,1,2,1,1,5,1302.18518518519,4469.295354494539,99.564,29.5130802187776,19.9128,5.9026160437555095,1.5616,0.8758798091062491,5.25341762261934,2.15624383300592,0.825
6,1,2,1,1,6,1084.16049382716,3877.4817157174602,102.52799999999999,26.3200534953864,20.5056,5.26401069907727,1.6808,0.937588054531413,5.08936066519288,1.95475773658043,0.8375
7,1,2,1,1,7,1090.07407407407,4100.02652137697,116.24,30.655348636086302,23.248,6.131069727217269,2.0296,1.11337497726507,5.51690210507715,2.0068414767649903,0.8625
8,1,2,1,1,8,1269.06172839506,4702.54240231519,98.484,27.4235253751227,19.6968,5.48470507502455,1.4824,0.853656980291264,4.57558408579722,2.01934586507036,0.8625
9,1,2,1,1,9,1277.55555555556,4688.39284105959,102.988,27.5075963326496,20.5976,5.50151926652993,1.6784,0.889546760996857,5.35690629709622,2.17049701515275,0.825
0,1,2,1,2,0,1342.46913580247,4738.08721390587,101.712,26.826499137979198,20.3424,5.36529982759584,1.7080000000000002,0.9112716389749,5.10716025326579,1.93966664852743,1.0
1,1,2,1,2,1,1340.25925925926,5078.61290914486,110.868,29.450612489386398,22.1736,5.89012249787727,2.012,1.03954605477583,5.98295641813743,2.40408091830815,0.9875
2,1,2,1,2,2,1239.34567901235,4433.95853614568,109.772,27.761844607302297,21.9544,5.55236892146046,1.6640000000000001,0.9819490821829822,4.29352922182951,1.7998998304773601,1.125
3,1,2,1,2,3,1354.07407407407,4986.5951118301,98.376,26.892575629716102,19.6752,5.37851512594322,1.6456,0.954484489135366,5.6881731813454195,2.61832131755527,0.9625
4,1,2,1,2,4,987.6419753086419,3660.65037501734,133.4,32.3487248589492,26.68,6.46974497178985,2.4736,1.1953338613124,6.483531645555071,2.30163999757069,0.9625
5,1,2,1,2,5,1202.93827160494,4240.1743597554905,106.21600000000001,27.547946275539303,21.2432,5.50958925510786,1.7856,0.9603919199993299,5.69187262338961,2.5283795618197997,0.925
6,1,2,1,2,6,1228.0,4511.32263871886,109.272,27.903225906694,21.8544,5.5806451813388005,1.8496,0.9777217600115071,6.36974539438886,2.59187276530402,1.075
7,1,2,1,2,7,1265.0493827160499,4326.791249422589,108.73200000000001,27.365309718693105,21.7464,5.47306194373862,1.9096,0.9791362724360692,5.4466779588765295,2.08635404929492,1.0
8,1,2,1,2,8,1587.62962962963,5348.06986169233,79.54,20.5696961572115,15.908,4.11393923144229,1.2048,0.714182721717629,4.88448423798428,2.5312947311031095,1.1
9,1,2,1,2,9,1073.83950617284,3854.68608337984,110.704,26.9977847980163,22.1408,5.3995569596032595,1.7952,1.0523768146438799,6.0248112386581205,2.74274761466505,0.9
0,1,0,2,0,0,109.11214953270999,1123.37833547685,97.1010638297872,26.5102428806616,19.420212765957398,5.30204857613233,0.802127659574468,0.6747700512033009,3.5613816886424,2.88621165475351,0.0660377358490566
1,1,0,2,0,1,107.841121495327,1110.29230090513,97.5585106382979,27.1332759100627,19.511702127659603,5.42665518201254,0.780851063829787,0.6885502184662579,3.22055291821523,2.7288239663794203,0.07547169811320754
2,1,0,2,0,2,59.28971962616821,521.638862603646,103.78723404255301,28.256376550324603,20.7574468085106,5.6512753100649205,0.75,0.6218110132268589,3.13773640661948,2.17966176367264,0.05660377358490566
3,1,0,2,0,3,73.49532710280371,589.802871770101,102.813829787234,27.690777714594997,20.562765957446803,5.53815554291901,0.8287234042553191,0.70787700885465,3.54408998255602,2.5897277439277597,0.09433962264150944
4,1,0,2,0,4,60.6822429906542,589.9907111280639,103.68085106383002,28.8121992358724,20.736170212765998,5.7624398471744795,0.7893617021276601,0.736794102869068,2.9882594946425702,2.06481797126618,0.04716981132075472
5,1,0,2,0,5,54.1401869158879,557.407340249885,100.186170212766,25.7897064285958,20.037234042553198,5.15794128571916,0.729787234042553,0.604738344549893,2.9083822648981,2.0988806372547,0.05660377358490566
6,1,0,2,0,6,121.177570093458,969.9592419713749,96.7606382978724,25.8053504186801,19.3521276595745,5.1610700837360195,0.719148936170213,0.5858757031317691,3.12699161063529,2.14438594364436,0.08490566037735849
7,1,0,2,0,7,81.9345794392523,843.5681256638609,93.7553191489362,26.123351488338,18.7510638297872,5.2246702976676,0.715957446808511,0.6374489034991,3.42312064413141,2.6986473320381004,0.04716981132075472
8,1,0,2,0,8,120.056074766355,1019.5526857885301,97.5372340425532,27.8402298995557,19.5074468085106,5.568045979911151,0.747872340425532,0.6691100350631289,3.26836737435139,2.5990454395844,0.08490566037735849
9,1,0,2,0,9,78.74766355140191,810.756818392117,95.17553191489358,25.2143162060434,19.0351063829787,5.042863241208679,0.735106382978723,0.6176839801394879,2.84663871884607,2.0175372124427398,0.09433962264150944
0,1,0,2,1,0,198.392523364486,2042.5760432978698,74.9840425531915,19.6729850583121,14.996808510638301,3.9345970116624303,0.48297872340425496,0.51563600427919,2.9618878757175295,3.06911427439372,0.09433962264150944
1,1,0,2,1,1,195.551401869159,2013.3249071963698,78.6276595744681,19.614087448497397,15.7255319148936,3.9228174896994705,0.493617021276596,0.45914085138702704,2.6152534079395,2.3156431335685603,0.14150943396226415
2,1,0,2,1,2,178.308411214953,1835.7974528961802,85.8882978723404,23.1154197240209,17.1776595744681,4.62308394480418,0.6468085106382979,0.577172515170286,2.7858564750851698,2.1635462239552,0.2075471698113208
3,1,0,2,1,3,265.271028037383,2731.1323917922896,65.91489361702129,18.7115049228555,13.1829787234043,3.7423009845710897,0.44468085106383004,0.460946533401212,2.52819360013504,2.2279945272993,0.12264150943396225
4,1,0,2,1,4,181.953271028037,1839.8275436409199,80.1223404255319,20.6431414309797,16.024468085106403,4.12862828619594,0.5436170212765961,0.495524332364815,2.63331644714612,2.27765932200397,0.1320754716981132
5,1,0,2,1,5,253.841121495327,2613.45430148923,71.4521276595745,17.4030092086288,14.290425531914899,3.48060184172575,0.431914893617021,0.47112648298484494,2.48786305302273,2.38171786278431,0.12264150943396225
6,1,0,2,1,6,197.56074766355098,2034.0123883207898,86.5053191489362,22.5429843170646,17.3010638297872,4.50859686341292,0.627659574468085,0.531237867009214,2.8602854149395496,2.09543682392062,0.0660377358490566
7,1,0,2,1,7,216.252336448598,2018.5168752276102,77.64893617021279,21.465810245750397,15.5297872340426,4.29316204915009,0.44787234042553203,0.468639661829004,2.32370187436668,2.43073879602803,0.09433962264150944
8,1,0,2,1,8,153.504672897196,1580.42733706272,84.71276595744679,21.729537863326396,16.942553191489402,4.345907572665279,0.5031914893617021,0.520832420400588,2.67473550385774,2.72488542547638,0.11320754716981132
9,1,0,2,1,9,194.691588785047,1920.7736633008603,85.30319148936171,23.342468611486396,17.060638297872302,4.66849372229727,0.6489361702127661,0.5345001006808939,3.67079917718219,2.6700862634757203,0.10377358490566037
0,1,0,2,2,0,331.89719626168204,1839.19337731273,81.97340425531921,20.9887085932185,16.3946808510638,4.19774171864371,0.587234042553192,0.530201495730771,2.4671859169199197,2.00740144029475,0.16037735849056606
1,1,0,2,2,1,303.355140186916,2005.9339086415698,71.6382978723405,17.1943527739641,14.3276595744681,3.43887055479282,0.47127659574468106,0.46974921793454105,2.6941932624112304,2.4567021632843398,0.1509433962264151
2,1,0,2,2,2,213.616822429907,1262.6204219045699,77.06914893617021,20.1132565927314,15.413829787234,4.02265131854627,0.48617021276595707,0.453849038504015,2.31330420466054,1.99459224746331,0.1509433962264151
3,1,0,2,2,3,271.710280373832,1980.5358286077499,74.5478723404255,19.587035599042803,14.9095744680851,3.9174071198085696,0.43510638297872295,0.471125281889916,2.67174518743673,2.72900760091896,0.18867924528301888
4,1,0,2,2,4,246.42990654205602,2103.0047889349103,75.718085106383,18.0643145500451,15.1436170212766,3.6128629100090097,0.3531914893617021,0.401513659357902,1.77871496116182,1.79629718751062,0.16981132075471694
