,net,con,param_F,param_G,it,MeanAA,StdAA,MeanSp,StdSp,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
6,2,0,2,1,6,4847.8785046729,9326.35419518388,424.964,150.352474884852,84.9928,30.0704949769704,14.7336,8.214713083242769,7.4900594869002,1.27454933619924,3.5660377358490565
7,2,0,2,1,7,5196.73831775701,9462.40376223503,463.13199999999995,161.042958790504,92.6264,32.2085917581008,16.02,8.69567708692084,7.25827498533733,1.19812188244378,4.0094339622641515
8,2,0,2,1,8,5550.92523364486,9436.769506742328,463.764,165.186380503963,92.7528,33.0372761007926,16.3696,9.02258698157019,7.08506743310678,1.19801443752994,4.10377358490566
9,2,0,2,1,9,5159.46728971963,9703.48597185256,365.19199999999995,124.417117536133,73.0384,24.8834235072266,11.8688,6.512000196560191,7.4200264797843305,1.4017364529174399,3.5943396226415096
0,2,1,2,1,0,9112.36448598131,10126.6896108564,826.0,308.492178182851,165.2,61.6984356365702,33.692,14.6706133477779,21.381125527934,4.31509326073429,6.745283018867924
1,2,1,2,1,1,9551.79439252336,10117.2602574316,908.488,343.31483197788,181.6976,68.662966395576,36.2976,15.2563086701862,23.0968351164914,4.8297286085252304,6.9245283018867925
2,2,1,2,1,2,9146.906542056071,9882.752672397959,774.16,285.623665686161,154.832,57.1247331372322,30.8488,13.229422457537598,22.539115342143504,4.61801597602094,6.415094339622643
3,2,1,2,1,3,9655.401869158879,10524.2904934206,884.352,329.612105505851,176.8704,65.9224211011701,35.3936,14.418852903057198,23.7797686639826,5.06155264097403,7.415094339622643
4,2,1,2,1,4,8963.89719626168,10509.6695733421,799.948,293.523357326125,159.9896,58.704671465225,33.6736,16.945551128246,7.62253021764629,1.25697226852168,6.547169811320754
5,2,1,2,1,5,7453.495327102801,9736.06289996291,779.816,287.583195169676,155.9632,57.516639033935206,31.4496,13.188993132153803,22.250516460406605,4.65773841239715,5.726415094339623
6,2,1,2,1,6,7226.16822429907,10332.7596204291,588.264,212.684334881533,117.6528,42.5368669763066,23.5072,10.4648606373903,19.4080865609287,3.73404354930268,4.7075471698113205
7,2,1,2,1,7,9303.72897196262,10176.8946235519,915.3639999999999,334.543281959151,183.0728,66.9086563918302,36.9616,14.774533679273901,23.9965645873887,4.92659849569534,6.79245283018868
8,2,1,2,1,8,8955.401869158879,10692.1990882687,931.8760000000001,350.34463692769697,186.3752,70.06892738553951,36.9424,15.1108504803667,24.2369748829595,5.4786028318647695,6.764150943396228
9,2,1,2,1,9,9585.21495327103,10134.210114066,867.56,327.679243163189,173.512,65.5358486326377,34.6416,14.5879028458514,23.1495814339807,5.04699456295146,7.216981132075473
0,2,2,2,1,0,6869.6542056074795,9504.952506533331,730.52,281.613269573719,146.10399999999998,56.322653914743796,29.0384,13.257008917550001,20.9520613573476,4.7586968901241296,5.5094339622641515
1,2,2,2,1,1,8280.47663551402,10658.203556565799,741.556,289.191989626269,148.3112,57.8383979252538,29.2464,13.0951749526305,22.540442373427897,4.95396226963675,5.952830188679246
2,2,2,2,1,2,8470.51401869159,10361.5040525549,877.8919999999999,340.62952358244,175.5784,68.125904716488,37.5488,19.882259895696002,7.71692886282905,1.30633699881958,6.59433962264151
3,2,2,2,1,3,8352.981308411221,9961.38000515628,793.9639999999999,311.953180307558,158.7928,62.39063606151171,32.1328,14.6960445072815,21.5175937957772,4.50592632030488,6.188679245283018
4,2,2,2,1,4,9204.48598130841,10968.0574050493,838.448,329.413319852127,167.6896,65.8826639704255,34.0176,15.2307796990174,21.761358116752803,4.69197320925203,6.462264150943396
5,2,2,2,1,5,8810.981308411221,10233.3540020118,798.4119999999999,314.20009270527,159.6824,62.840018541053894,33.408,18.196921058245,7.563150787024809,1.3124107014410702,6.386792452830187
6,2,2,2,1,6,8266.51401869159,10789.4232480473,761.4680000000001,300.961048934908,152.2936,60.1922097869816,30.0256,13.930191120009802,21.4605906067316,4.65139406152667,6.10377358490566
7,2,2,2,1,7,7342.710280373829,10427.114399988901,686.216,262.350973590723,137.2432,52.470194718144505,26.788,11.9948662351858,22.104097517653305,4.628955223757139,5.349056603773585
8,2,2,2,1,8,8339.53271028037,9946.65543029063,786.936,316.376048246387,157.3872,63.27520964927729,31.855999999999998,14.688588223515598,21.4869828026464,4.828135852458179,5.915094339622643
9,2,2,2,1,9,7987.9626168224295,9946.31083811089,756.18,298.027682606834,151.236,59.6055365213669,29.3632,13.1870575095432,24.4622967420265,5.281816728580281,5.886792452830187
0,0,0,2,2,0,12282.009345794399,9782.406548412171,997.008,317.654113677125,199.4016,63.530822735425,41.808,18.0624941799299,8.54232152838552,1.4147923527758102,8.89622641509434
1,0,0,2,2,1,11422.2803738318,8342.41873171218,837.9119999999999,267.322592116716,167.5824,53.4645184233432,34.7232,15.249116097662801,8.413044936380889,1.34648808333433,8.018867924528301
2,0,0,2,2,2,11227.560747663601,8374.60691132467,938.7,296.451348453671,187.74,59.2902696907343,39.868,17.280046759196,7.996296519778871,1.20696336679574,8.226415094339622
3,0,0,2,2,3,9339.73831775701,8413.147854918441,893.6239999999999,277.258353569374,178.7248,55.4516707138748,37.1368,15.897008704784698,8.46619833286208,1.3293056656578799,7.084905660377357
4,0,0,2,2,4,11913.0841121495,8897.77563311327,976.6239999999999,313.223643143362,195.3248,62.6447286286723,40.6536,17.5675839841453,8.894828590384561,1.43821448218057,9.0
5,0,0,2,2,5,11751.2803738318,8282.62566025609,895.86,283.93199256159903,179.172,56.78639851231979,35.808,12.7599473353145,26.5466602469572,5.1542126855807195,8.556603773584905
6,0,0,2,2,6,10835.2710280374,9046.14028869802,909.584,290.169583078585,181.9168,58.033916615717104,35.5704,12.2037340121784,30.352138788685497,6.04132198901319,7.924528301886792
7,0,0,2,2,7,12115.1214953271,9375.83268597154,917.1439999999999,300.270336969871,183.4288,60.0540673939742,38.8072,17.1615601901459,8.05685938835566,1.29082729288711,8.641509433962264
8,0,0,2,2,8,11613.8785046729,8867.785797359771,916.02,292.24066041535,183.204,58.44813208306999,39.0448,16.5139429864584,9.00598329441101,1.39450274742493,8.481132075471699
