,net,con,in,ex,it,meanAA,stdAA,meanSpike,stdSpike,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
2,0,0,70,70,2,1571.1495327102803,5665.0537587731205,374.852,115.253833324536,74.9704,23.050766664907304,10.6576,5.29112863574493,7.42371178346815,1.34522300427345,1.2547169811320755
3,0,0,70,70,3,1586.28037383178,6082.61056503509,327.852,99.12887619659571,65.5704,19.8257752393191,8.7408,4.3647697946168895,8.67035659723167,1.8077582717163403,1.0094339622641508
4,0,0,70,70,4,1387.6261682242998,5495.32669004703,300.70799999999997,90.75910277211871,60.1416,18.1518205544237,7.5336,3.8834509189637,7.21526767065852,1.5168207397477,1.1226415094339623
5,0,0,70,70,5,1673.22429906542,6130.240653763471,363.30800000000005,112.97718856477199,72.6616,22.595437712954396,9.9816,5.19647394297325,7.81208260228616,1.47944544430996,1.150943396226415
6,0,0,70,70,6,1496.57943925234,5705.19604459311,340.176,103.818307749645,68.0352,20.763661549928997,8.816,4.48824954742938,8.19253539910001,1.75314860133407,1.0943396226415094
7,0,0,70,70,7,1599.4018691588801,6097.899747001629,340.616,105.861742589096,68.1232,21.1723485178192,9.2688,4.746980783613941,7.84776416294108,1.5604947690555098,1.1226415094339623
8,0,0,70,70,8,1416.02803738318,5215.9763549754,398.24800000000005,117.291306139884,79.6496,23.4582612279768,11.7168,5.658476628917009,8.885142626442079,1.73927111335374,1.2735849056603774
9,0,0,70,70,9,1692.7289719626199,6247.17175121355,347.5,102.130475373416,69.5,20.426095074683303,9.288,4.623792382882259,7.82521558479887,1.66099734768037,1.1886792452830188
0,0,1,70,70,0,1648.7383177570098,6035.73199509133,410.42400000000004,124.585505673814,82.0848,24.917101134762802,12.4768,6.0201147630257,9.109915302210961,1.7634541691834,1.179245283018868
1,0,1,70,70,1,1290.4299065420598,4871.55948300837,354.48,106.119185824242,70.896,21.223837164848398,9.856,4.77272919826801,8.73714293999141,1.71546986705051,1.0
2,0,1,70,70,2,1271.98130841122,5357.33610916531,310.872,90.59381665433908,62.1744,18.1187633308678,8.1008,3.97307932968875,7.68977504965299,1.61673966087982,0.8490566037735849
3,0,1,70,70,3,1345.47663551402,5215.3195480020095,349.832,99.5156860801351,69.9664,19.903137216027,9.5728,4.5550038594934295,7.948766292588,1.52230935187482,1.0094339622641508
4,0,1,70,70,4,1512.0560747663599,5706.347183949771,369.19199999999995,106.709976740697,73.8384,21.3419953481393,10.2808,4.88016714467855,8.62386073608917,1.5963331321935401,1.0471698113207548
5,0,1,70,70,5,1494.4299065420598,5533.56606405615,395.01599999999996,115.73383145822099,79.0032,23.1467662916443,11.9384,5.633716840594669,8.70239741452284,1.67394888651973,1.0471698113207548
6,0,1,70,70,6,1437.21495327103,5383.72586481146,399.56800000000004,117.50127393352,79.9136,23.500254786703895,11.7072,5.58392229172291,9.141528176992711,1.74508554494219,1.0471698113207548
7,0,1,70,70,7,1443.64485981308,5278.33516172315,413.55199999999996,125.341099787739,82.7104,25.068219957547804,12.532,6.08573545267949,9.14268944607001,1.5891231743653402,1.1037735849056605
8,0,1,70,70,8,1495.19626168224,5192.92142299559,377.68,109.800189435174,75.536,21.960037887034698,10.8544,5.2800833932808295,8.62624651570325,1.67966855501378,1.0849056603773586
9,0,1,70,70,9,1341.38317757009,5288.64381083164,388.676,116.271626048662,77.7352,23.2543252097325,11.2168,5.561255052593791,8.927785532470109,1.57424651939202,0.9339622641509434
0,0,2,70,70,0,2438.65420560748,7454.68111116842,285.392,86.77141427912771,57.0784,17.3542828558255,7.4616,3.80982485686678,7.90825448332474,1.66722774795206,1.8867924528301887
1,0,2,70,70,1,2227.89719626168,7229.000570695351,301.492,94.9559578752171,60.2984,18.9911915750434,7.5472,4.07137472605998,6.861650727862151,1.4067863274841899,1.849056603773585
2,0,2,70,70,2,2589.65420560748,8012.63095287486,254.31599999999997,78.3571831040397,50.8632,15.671436620807901,5.747999999999999,2.9943974352112996,6.83850931450928,1.62592503291924,1.69811320754717
3,0,2,70,70,3,2625.1308411215,7290.3146786487705,307.164,94.9843834743375,61.4328,18.9968766948675,8.0032,4.15245346271334,8.15258293240367,1.7849670926435801,2.056603773584906
4,0,2,70,70,4,2114.71028037383,6776.1830073948995,247.88,75.9725318783046,49.576,15.1945063756609,5.4888,3.01430498788693,6.0979687769127695,1.50725974197721,1.5849056603773586
5,0,2,70,70,5,2398.6168224299104,7318.46833171626,271.036,82.4124426527936,54.2072,16.482488530558697,6.6112,3.4567780605644898,7.8453302564637495,1.7596543872359898,1.858490566037736
6,0,2,70,70,6,2490.6355140186897,7824.2863535223705,249.82,76.23287742175292,49.964,15.2465754843506,5.784,3.04658234748382,7.35102420295478,1.67505333431519,1.5849056603773586
7,0,2,70,70,7,3152.1214953271,7633.026187537379,292.48,89.5579454878237,58.496,17.9115890975647,7.3968,3.7894999353476697,7.85817750247218,1.81140363680285,2.160377358490566
8,0,2,70,70,8,2552.57009345794,7484.95689636313,284.172,86.3878603508618,56.8344,17.2775720701724,6.9424,3.65432924625026,7.44814867131449,1.60175803446252,2.047169811320755
9,0,2,70,70,9,2532.33644859813,7737.35845424129,239.65599999999998,74.23956939530291,47.9312,14.8479138790606,5.2072,2.8825176773092003,6.25639846619008,1.5136863853892801,1.9339622641509435
0,1,0,70,70,0,1800.01869158879,5978.882163488779,230.00799999999998,63.517933971438296,46.0016,12.703586794287698,4.8368,2.44921329410078,7.01332163964045,1.55783439065796,1.4056603773584906
1,1,0,70,70,1,1937.43925233645,6682.1249532741895,218.44400000000002,66.11770461835471,43.6888,13.2235409236709,4.263999999999999,2.28527109989165,6.12918634548916,1.5940920213981298,1.3867924528301887
2,1,0,70,70,2,1772.8224299065398,5917.78964768631,205.304,59.0444204307232,41.0608,11.8088840861446,3.7496,1.9685984455952399,6.351055414137781,1.86167161356639,1.3113207547169812
3,1,0,70,70,3,1899.97196261682,6263.5567669692,245.736,71.71740586496419,49.1472,14.343481172992801,5.252000000000001,2.717707857736,7.755864661751139,1.9749576166443799,1.490566037735849
4,1,0,70,70,4,1819.22429906542,5894.103459776539,229.092,63.8930632854616,45.8184,12.778612657092301,4.6216,2.3970009261575203,6.62348113164304,1.6828730138317298,1.481132075471698
5,1,0,70,70,5,2034.6168224299104,6332.398062898979,224.808,67.4886296793764,44.9616,13.497725935875302,4.388,2.42137481609106,6.367387043328249,1.58633982737858,1.490566037735849
6,1,0,70,70,6,1741.78504672897,5807.614022646309,222.736,59.660592554885,44.5472,11.932118510977002,4.2584,2.1924847639151297,6.02205694616016,1.4797237046146101,1.339622641509434
7,1,0,70,70,7,1884.1308411215,6319.20483002531,265.944,76.6715388133041,53.1888,15.334307762660801,5.76,2.90059304281038,7.010449242117809,1.55410301181217,1.5471698113207548
8,1,0,70,70,8,1991.2056074766397,6532.034177787321,235.9,69.7032710853659,47.18,13.9406542170732,4.7824,2.61234190717831,6.39109659437631,1.5230120633731399,1.509433962264151
9,1,0,70,70,9,1987.4018691588801,7014.38841514363,215.924,62.2900812649976,43.1848,12.4580162529995,4.1448,2.26563742906936,6.05464549139925,1.80647584214311,1.3679245283018868
0,1,1,70,70,0,2251.6728971962602,7247.414497115759,216.44,59.275613872822895,43.288000000000004,11.8551227745646,4.328,2.11907904524584,6.57289717103226,1.70316494974197,1.5849056603773586
1,1,1,70,70,1,2429.0280373831797,7418.00883737432,232.296,67.206847746342,46.4592,13.441369549268401,4.7144,2.45122676225599,6.61672827015597,1.51136201594878,1.6698113207547167
2,1,1,70,70,2,2287.10280373832,7252.1411571523595,211.82,61.16021255685761,42.364,12.2320425113715,4.0976,2.19134530368904,5.94744441564982,1.55475314520769,1.7547169811320755
3,1,1,70,70,3,2252.8785046729,6865.924836738571,242.38400000000001,67.5725724240242,48.4768,13.514514484804803,5.0688,2.6470335396439504,6.44840241438893,1.62609625293917,1.7452830188679245
4,1,1,70,70,4,2323.41121495327,6814.327562567541,239.108,67.4691658166899,47.8216,13.493833163338001,5.1496,2.66710701697551,6.9788687826428095,1.8778318124232598,1.7641509433962264
5,1,1,70,70,5,2074.44859813084,6810.3393992766005,212.428,57.24317265840529,42.4856,11.4486345316811,4.0056,1.99939206760455,6.0656251571225095,1.54614173264453,1.5377358490566038
6,1,1,70,70,6,2351.01869158879,7278.2503096378905,202.576,55.711867891859505,40.5152,11.1423735783719,3.9704,2.0007008372068,6.47503508459686,1.72856280598358,1.7547169811320755
7,1,1,70,70,7,2273.95327102804,6684.340095464549,234.28400000000002,64.4949249476267,46.8568,12.898984989525301,4.6448,2.2607416836074,6.79532656831792,1.7535269489321201,1.8207547169811318
8,1,1,70,70,8,2433.46728971963,7289.295678086801,224.076,63.716922587331496,44.8152,12.743384517466302,4.668,2.35654323109083,7.064666157127331,1.8011568872084298,1.69811320754717
9,1,1,70,70,9,2198.04672897196,6796.652634584139,229.58,63.51789983933661,45.916000000000004,12.7035799678673,4.8424,2.5157349303931,6.2839427646254,1.42082816378403,1.5943396226415094
0,1,2,70,70,0,2080.77570093458,7064.9318022363595,226.644,61.147667690599604,45.3288,12.2295335381199,4.4239999999999995,2.28646102087921,6.28327369606161,1.6132391245004298,1.4056603773584906
1,1,2,70,70,1,2133.57943925234,6862.766174859251,218.912,61.4130951507901,43.7824,12.282619030158,4.2352,2.17580352054132,6.21870329206709,1.68789795165257,1.5660377358490567
2,1,2,70,70,2,1926.2990654205603,6237.38429213369,268.96,71.83201514645121,53.792,14.366403029290199,6.2944,2.97063774970965,7.26442774028862,1.4146510924584499,1.650943396226415
3,1,2,70,70,3,2179.7943925233603,6933.972661729599,248.328,66.0813166939037,49.6656,13.216263338780802,5.32,2.54621287405433,7.693286915820451,1.9172457560876999,1.6886792452830188
4,1,2,70,70,4,1931.00934579439,6538.5175925682,256.22,69.0257604087054,51.244,13.805152081741099,5.4608,2.5917066500667096,7.054375310522901,1.6840149243230103,1.6415094339622642
5,1,2,70,70,5,2109.66355140187,6776.17442308239,256.51599999999996,70.86472849027221,51.3032,14.172945698054399,5.8184,2.84520323351426,7.48046112136063,1.65073582072121,1.7358490566037736
6,1,2,70,70,6,2231.9719626168203,7142.7062169753,258.584,72.72146137145481,51.7168,14.544292274291001,5.796,2.9348362816347997,7.28617970997628,1.5347594531845201,1.7169811320754718
